instance_type,cost_per_hr,cpu_ct,ram_size_gb,storage_type,network_throughput
t3.nano,$0.0114,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0228,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0455,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0726,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1361,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2906,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5811,8,32 GiB,EBS Only,Up to 5 Gigabit
m6i.large,$0.219,2,8 GiB,EBS Only,Up to 12500 Megabit
m6i.xlarge,$0.438,4,16 GiB,EBS Only,Up to 12500 Megabit
m6i.2xlarge,$0.876,8,32 GiB,EBS Only,Up to 12500 Megabit
m6i.4xlarge,$1.752,16,64 GiB,EBS Only,Up to 12500 Megabit
m6i.8xlarge,$3.504,32,128 GiB,EBS Only,12500 Megabit
m6i.12xlarge,$5.256,48,192 GiB,EBS Only,18750 Megabit
m6i.16xlarge,$7.008,64,256 GiB,EBS Only,25000 Megabit
m6i.24xlarge,$10.512,96,384 GiB,EBS Only,37500 Megabit
m6i.32xlarge,$14.016,128,512 GiB,EBS Only,50000 Megabit
m6i.metal,$14.016,128,512 GiB,EBS Only,50000 Megabit
m5.large,$0.219,2,8 GiB,EBS Only,Up to 10 Gigabit
m5.xlarge,$0.438,4,16 GiB,EBS Only,Up to 10 Gigabit
m5.2xlarge,$0.876,8,32 GiB,EBS Only,Up to 10 Gigabit
t3.nano,$0.0114,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0228,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0455,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0726,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1361,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2906,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5811,8,32 GiB,EBS Only,Up to 5 Gigabit
m6i.large,$0.219,2,8 GiB,EBS Only,Up to 12500 Megabit
m6i.xlarge,$0.438,4,16 GiB,EBS Only,Up to 12500 Megabit
m6i.2xlarge,$0.876,8,32 GiB,EBS Only,Up to 12500 Megabit
m6i.4xlarge,$1.752,16,64 GiB,EBS Only,Up to 12500 Megabit
m6i.8xlarge,$3.504,32,128 GiB,EBS Only,12500 Megabit
m6i.12xlarge,$5.256,48,192 GiB,EBS Only,18750 Megabit
m6i.16xlarge,$7.008,64,256 GiB,EBS Only,25000 Megabit
m6i.24xlarge,$10.512,96,384 GiB,EBS Only,37500 Megabit
m6i.32xlarge,$14.016,128,512 GiB,EBS Only,50000 Megabit
m6i.metal,$14.016,128,512 GiB,EBS Only,50000 Megabit
m5.large,$0.219,2,8 GiB,EBS Only,Up to 10 Gigabit
m5.xlarge,$0.438,4,16 GiB,EBS Only,Up to 10 Gigabit
m5.2xlarge,$0.876,8,32 GiB,EBS Only,Up to 10 Gigabit
t3.nano,$0.0114,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0228,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0455,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0726,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1361,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2906,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5811,8,32 GiB,EBS Only,Up to 5 Gigabit
m6i.large,$0.219,2,8 GiB,EBS Only,Up to 12500 Megabit
m6i.xlarge,$0.438,4,16 GiB,EBS Only,Up to 12500 Megabit
m6i.2xlarge,$0.876,8,32 GiB,EBS Only,Up to 12500 Megabit
m6i.4xlarge,$1.752,16,64 GiB,EBS Only,Up to 12500 Megabit
m6i.8xlarge,$3.504,32,128 GiB,EBS Only,12500 Megabit
m6i.12xlarge,$5.256,48,192 GiB,EBS Only,18750 Megabit
m6i.16xlarge,$7.008,64,256 GiB,EBS Only,25000 Megabit
m6i.24xlarge,$10.512,96,384 GiB,EBS Only,37500 Megabit
m6i.32xlarge,$14.016,128,512 GiB,EBS Only,50000 Megabit
m6i.metal,$14.016,128,512 GiB,EBS Only,50000 Megabit
m5.large,$0.219,2,8 GiB,EBS Only,Up to 10 Gigabit
m5.xlarge,$0.438,4,16 GiB,EBS Only,Up to 10 Gigabit
m5.2xlarge,$0.876,8,32 GiB,EBS Only,Up to 10 Gigabit
t3.nano,$0.0114,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0228,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0455,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0726,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1361,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2906,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5811,8,32 GiB,EBS Only,Up to 5 Gigabit
m6i.large,$0.219,2,8 GiB,EBS Only,Up to 12500 Megabit
m6i.xlarge,$0.438,4,16 GiB,EBS Only,Up to 12500 Megabit
m6i.2xlarge,$0.876,8,32 GiB,EBS Only,Up to 12500 Megabit
m6i.4xlarge,$1.752,16,64 GiB,EBS Only,Up to 12500 Megabit
m6i.8xlarge,$3.504,32,128 GiB,EBS Only,12500 Megabit
m6i.12xlarge,$5.256,48,192 GiB,EBS Only,18750 Megabit
m6i.16xlarge,$7.008,64,256 GiB,EBS Only,25000 Megabit
m6i.24xlarge,$10.512,96,384 GiB,EBS Only,37500 Megabit
m6i.32xlarge,$14.016,128,512 GiB,EBS Only,50000 Megabit
m6i.metal,$14.016,128,512 GiB,EBS Only,50000 Megabit
m5.large,$0.219,2,8 GiB,EBS Only,Up to 10 Gigabit
m5.xlarge,$0.438,4,16 GiB,EBS Only,Up to 10 Gigabit
m5.2xlarge,$0.876,8,32 GiB,EBS Only,Up to 10 Gigabit
t3.nano,$0.0114,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0228,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0455,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0726,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1361,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2906,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5811,8,32 GiB,EBS Only,Up to 5 Gigabit
m6i.large,$0.219,2,8 GiB,EBS Only,Up to 12500 Megabit
m6i.xlarge,$0.438,4,16 GiB,EBS Only,Up to 12500 Megabit
m6i.2xlarge,$0.876,8,32 GiB,EBS Only,Up to 12500 Megabit
m6i.4xlarge,$1.752,16,64 GiB,EBS Only,Up to 12500 Megabit
m6i.8xlarge,$3.504,32,128 GiB,EBS Only,12500 Megabit
m6i.12xlarge,$5.256,48,192 GiB,EBS Only,18750 Megabit
m6i.16xlarge,$7.008,64,256 GiB,EBS Only,25000 Megabit
m6i.24xlarge,$10.512,96,384 GiB,EBS Only,37500 Megabit
m6i.32xlarge,$14.016,128,512 GiB,EBS Only,50000 Megabit
m6i.metal,$14.016,128,512 GiB,EBS Only,50000 Megabit
m5.large,$0.219,2,8 GiB,EBS Only,Up to 10 Gigabit
m5.xlarge,$0.438,4,16 GiB,EBS Only,Up to 10 Gigabit
m5.2xlarge,$0.876,8,32 GiB,EBS Only,Up to 10 Gigabit
t3.nano,$0.0114,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0228,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0455,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0726,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1361,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2906,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5811,8,32 GiB,EBS Only,Up to 5 Gigabit
m6i.large,$0.219,2,8 GiB,EBS Only,Up to 12500 Megabit
m6i.xlarge,$0.438,4,16 GiB,EBS Only,Up to 12500 Megabit
m6i.2xlarge,$0.876,8,32 GiB,EBS Only,Up to 12500 Megabit
m6i.4xlarge,$1.752,16,64 GiB,EBS Only,Up to 12500 Megabit
m6i.8xlarge,$3.504,32,128 GiB,EBS Only,12500 Megabit
m6i.12xlarge,$5.256,48,192 GiB,EBS Only,18750 Megabit
m6i.16xlarge,$7.008,64,256 GiB,EBS Only,25000 Megabit
m6i.24xlarge,$10.512,96,384 GiB,EBS Only,37500 Megabit
m6i.32xlarge,$14.016,128,512 GiB,EBS Only,50000 Megabit
m6i.metal,$14.016,128,512 GiB,EBS Only,50000 Megabit
m5.large,$0.219,2,8 GiB,EBS Only,Up to 10 Gigabit
m5.xlarge,$0.438,4,16 GiB,EBS Only,Up to 10 Gigabit
m5.2xlarge,$0.876,8,32 GiB,EBS Only,Up to 10 Gigabit
t3.nano,$0.0114,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0228,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0455,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0726,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1361,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2906,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5811,8,32 GiB,EBS Only,Up to 5 Gigabit
m6i.large,$0.219,2,8 GiB,EBS Only,Up to 12500 Megabit
m6i.xlarge,$0.438,4,16 GiB,EBS Only,Up to 12500 Megabit
m6i.2xlarge,$0.876,8,32 GiB,EBS Only,Up to 12500 Megabit
m6i.4xlarge,$1.752,16,64 GiB,EBS Only,Up to 12500 Megabit
m6i.8xlarge,$3.504,32,128 GiB,EBS Only,12500 Megabit
m6i.12xlarge,$5.256,48,192 GiB,EBS Only,18750 Megabit
m6i.16xlarge,$7.008,64,256 GiB,EBS Only,25000 Megabit
m6i.24xlarge,$10.512,96,384 GiB,EBS Only,37500 Megabit
m6i.32xlarge,$14.016,128,512 GiB,EBS Only,50000 Megabit
m6i.metal,$14.016,128,512 GiB,EBS Only,50000 Megabit
m5.large,$0.219,2,8 GiB,EBS Only,Up to 10 Gigabit
m5.xlarge,$0.438,4,16 GiB,EBS Only,Up to 10 Gigabit
m5.2xlarge,$0.876,8,32 GiB,EBS Only,Up to 10 Gigabit
t3.nano,$0.0114,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0228,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0455,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0726,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1361,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2906,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5811,8,32 GiB,EBS Only,Up to 5 Gigabit
m6i.large,$0.219,2,8 GiB,EBS Only,Up to 12500 Megabit
m6i.xlarge,$0.438,4,16 GiB,EBS Only,Up to 12500 Megabit
m6i.2xlarge,$0.876,8,32 GiB,EBS Only,Up to 12500 Megabit
m6i.4xlarge,$1.752,16,64 GiB,EBS Only,Up to 12500 Megabit
m6i.8xlarge,$3.504,32,128 GiB,EBS Only,12500 Megabit
m6i.12xlarge,$5.256,48,192 GiB,EBS Only,18750 Megabit
m6i.16xlarge,$7.008,64,256 GiB,EBS Only,25000 Megabit
m6i.24xlarge,$10.512,96,384 GiB,EBS Only,37500 Megabit
m6i.32xlarge,$14.016,128,512 GiB,EBS Only,50000 Megabit
m6i.metal,$14.016,128,512 GiB,EBS Only,50000 Megabit
m5.large,$0.219,2,8 GiB,EBS Only,Up to 10 Gigabit
m5.xlarge,$0.438,4,16 GiB,EBS Only,Up to 10 Gigabit
m5.2xlarge,$0.876,8,32 GiB,EBS Only,Up to 10 Gigabit
t3.nano,$0.0114,2,0.5 GiB,EBS Only,Up to 5 Gigabit
t3.micro,$0.0228,2,1 GiB,EBS Only,Up to 5 Gigabit
t3.small,$0.0455,2,2 GiB,EBS Only,Up to 5 Gigabit
t3.medium,$0.0726,2,4 GiB,EBS Only,Up to 5 Gigabit
t3.large,$0.1361,2,8 GiB,EBS Only,Up to 5 Gigabit
t3.xlarge,$0.2906,4,16 GiB,EBS Only,Up to 5 Gigabit
t3.2xlarge,$0.5811,8,32 GiB,EBS Only,Up to 5 Gigabit
m6i.large,$0.219,2,8 GiB,EBS Only,Up to 12500 Megabit
m6i.xlarge,$0.438,4,16 GiB,EBS Only,Up to 12500 Megabit
m6i.2xlarge,$0.876,8,32 GiB,EBS Only,Up to 12500 Megabit
m6i.4xlarge,$1.752,16,64 GiB,EBS Only,Up to 12500 Megabit
m6i.8xlarge,$3.504,32,128 GiB,EBS Only,12500 Megabit
m6i.12xlarge,$5.256,48,192 GiB,EBS Only,18750 Megabit
m6i.16xlarge,$7.008,64,256 GiB,EBS Only,25000 Megabit
m6i.24xlarge,$10.512,96,384 GiB,EBS Only,37500 Megabit
m6i.32xlarge,$14.016,128,512 GiB,EBS Only,50000 Megabit
m6i.metal,$14.016,128,512 GiB,EBS Only,50000 Megabit
m5.large,$0.219,2,8 GiB,EBS Only,Up to 10 Gigabit
m5.xlarge,$0.438,4,16 GiB,EBS Only,Up to 10 Gigabit
m5.2xlarge,$0.876,8,32 GiB,EBS Only,Up to 10 Gigabit
